 # 2014 10 31 
 # CdTe 20 x 20 x 2 cm^3
 # Crab type flux, 60 to 600 keV, in Z, centered in XY plane 
 # 1 keV Threshold, 5*10^5 photons
129 -0.107167 12.1648 -17.0832 -24
130 0.031814 84.3076 -3.37892 -9.2253
130 0.0533844 84.3064 -3.37779 -9.22475
130 -0.0851984 84.3076 -3.37892 -24
131 0.031814 38.4341 -13.8864 -9.11569
131 0.100335 38.4379 -13.8835 -9.11527
131 -0.132149 38.4341 -13.8864 -24
132 0.031814 -69.5373 23.3702 -9.61118
132 0.0438779 -69.5364 23.3708 -9.61052
132 -0.0756919 -69.5373 23.3702 -24
133 0.026711 -99.2839 -86.7195 -9.36442
133 0.0433509 -99.2848 -86.7189 -9.36382
133 -0.0700619 -99.2839 -86.7195 -24
134 0.026711 47.4673 81.3929 -9.35563
134 0.0567433 47.4689 81.3923 -9.35487
134 -0.0834543 47.4673 81.3929 -24
135 0.026711 -37.1928 -87.8555 1.35953
135 0.109943 -37.1965 -87.8596 1.36055
135 -0.136654 -37.1928 -87.8555 -24
136 0.026711 -45.7116 11.0821 -9.79647
136 0.0343804 -45.7108 11.0819 -9.79664
136 -0.0610914 -45.7116 11.0821 -24
137 0.031814 75.084 -80.181 -6.78987
137 0.105101 75.0858 -80.1781 -6.78604
137 0.0283884 73.6005 -77.8554 -7.85043
137 -0.165303 73.6008 -77.8558 -24
138 0.031814 92.7308 -55.6033 -9.65073
138 0.0802698 92.7318 -55.6007 -9.64895
138 -0.112084 92.7308 -55.6033 -24
139 0.026711 -38.1441 -56.6972 -9.86747
139 0.028953 -38.1437 -56.697 -9.86697
139 -0.055664 -38.1441 -56.6972 -24
140 0.031814 89.4152 -86.1838 -9.88819
140 0.0658176 89.4153 -86.1847 -9.88595
140 -0.0976316 89.4152 -86.1838 -24
141 0.026711 -92.1082 54.873 -9.54138
141 0.0314815 -92.1076 54.8726 -9.54118
141 0.00331382 -92.2073 55.4697 -9.91633
141 -0.0615063 -92.2073 55.4697 -24
142 0.031814 -21.2313 -35.5752 -9.61825
142 0.0834013 -21.2279 -35.5751 -9.61755
